title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
PS大佬演示-中文字幕纸片立体发光制作！后期调色拼搞氛围质感合成流程！,P点事,1460,22670,488651194,BV1KT4y1k79J,https://www.bilibili.com/video/BV1KT4y1k79J,https://space.bilibili.com/488651194,P点事,2,3280,5613,116961,0
两位大哥！如果你们能看到的话...I’m sorry！,张尔达,56195,645117,15052693,BV1UR4y1A7Qm,https://www.bilibili.com/video/BV1UR4y1A7Qm,https://space.bilibili.com/15052693,张尔达,185,898873,4303513,63799304,0
通过专业课真题，我们能看出什么？｜专业课真题千万别浪费｜专业课真题梳理表,鸟山学长,1735,24240,258819429,BV1fa411h7Hc,https://www.bilibili.com/video/BV1fa411h7Hc,https://space.bilibili.com/258819429,鸟山学长,425,573687,1314713,23520794,63333
攻壳解读[8]：从人质到恐怖分子，被囚禁在社会裂痕里的少女,云中的鸟,3075,27789,2114475,BV1Gu411r7a3,https://www.bilibili.com/video/BV1Gu411r7a3,https://space.bilibili.com/2114475,云中的鸟,326,18335,85129,546147,0
【1个月减12斤】100个你必须知道的减脂技巧（新手必看）第一季,凯圣王,5592,59028,2100737396,BV1Ev4y1A78J,https://www.bilibili.com/video/BV1Ev4y1A78J,https://space.bilibili.com/2100737396,凯圣王,62,179880,502066,7280026,6528
【DNF剧情解说】奥兹玛的故事到底有多悲惨？,小王纸游戏解说,7312,135405,521722088,BV1cY411F7HM,https://www.bilibili.com/video/BV1cY411F7HM,https://space.bilibili.com/521722088,小王纸游戏解说,29,491956,1744264,58199594,0
第一次给自己做生日蛋糕，结果……,shourei小N,38090,253259,249118,BV1Ju411r7hz,https://www.bilibili.com/video/BV1Ju411r7hz,https://space.bilibili.com/249118,shourei小N,127,1209755,4639052,31766203,922481
鉴定一下热门营销号谣言,奶爸的植物科普日常,288949,3101968,1981923423,BV17Y411F7tE,https://www.bilibili.com/video/BV17Y411F7tE,https://space.bilibili.com/1981923423,奶爸的植物科普日常,3,97277,2399487,35446266,3511
【腰椎康复10分钟跟练】康复师带你解决腰痛困扰，跟练+讲解（无需器械）,运动康复陈老师,2790,32610,398400942,BV1t3411A7ta,https://www.bilibili.com/video/BV1t3411A7ta,https://space.bilibili.com/398400942,运动康复陈老师,13,155567,283493,7390828,25999
【徐静雨】凯尔特人抢七战胜雄鹿，塔图姆23分，格威戴上了瞄准镜！,雨说体育徐静雨,15678,583633,306936843,BV1L5411973X,https://www.bilibili.com/video/BV1L5411973X,https://space.bilibili.com/306936843,雨说体育徐静雨,21,720749,5911979,286381472,202450
